Number,Player,Game Id,Home/Away,Goals,Assists,Points,+/-,PIM,PP G,PP A,PP P,Shots,Shot Attempts,Scoring Chances +,Scoring Chances -,Scoring Chances +/-,Blocked Shots,Takeaways,Hits,NF - Tip,NF - Screen,NF - Rebound
2,Owen Wilson,20240914-Laurier,Away,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,
3,Gavin Wood,20240914-Laurier,Away,0,1,1,0,0,0,0,0,,,1,3,-2,,,,,,
5,Emmet Pierce,20240914-Laurier,Away,0,0,0,0,0,0,0,0,,,1,1,0,,,,,,
6,Jordan Hendry,20240914-Laurier,Away,0,0,0,0,0,0,0,0,,,1,1,0,,,,,,
7,Adam Grein,20240914-Laurier,Away,0,1,1,0,0,0,0,0,,,1,1,0,,,,,,
8,Payton Robinson,20240914-Laurier,Away,0,1,1,0,2,0,0,0,,,1,1,0,,,,,,
9,Max Monette,20240914-Laurier,Away,0,1,1,0,2,0,0,0,,,2,0,2,,,,,,
10,Nate Bierd,20240914-Laurier,Away,0,1,1,0,2,0,0,0,,,5,0,5,,,,,,
11,Liam Fedak,20240914-Laurier,Away,1,0,1,0,0,0,0,0,,,2,0,2,,,,,,
14,Jaxson Murray,20240914-Laurier,Away,0,0,0,0,0,0,0,0,,,2,0,2,,,,,,
20,Brendan Bays,20240914-Laurier,Away,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,
23,Simon Rose,20240914-Laurier,Away,0,0,0,0,10,0,0,0,,,2,0,2,,,,,,
25,Jaden Goldie,20240914-Laurier,Away,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,
26,Jesse Fishman,20240914-Laurier,Away,0,2,2,0,0,0,0,0,,,4,0,4,,,,,,
27,Brendan Bowie,20240914-Laurier,Away,1,0,1,0,0,0,0,0,,,1,0,1,,,,,,
28,Aaron Davidson,20240914-Laurier,Away,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,
46,Cole Fraser,20240914-Laurier,Away,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,
81,Tate Popple,20240914-Laurier,Away,0,0,0,0,0,0,0,0,,,1,1,0,,,,,,
88,Adamo Santia,20240914-Laurier,Away,1,0,1,0,0,0,0,0,,,3,1,2,,,,,,
2,Owen Wilson,20240920-SMU,Away,0,0,0,0,0,0,0,0,1,1,0,1,-1,1,0,0,,,
4,Sam McKinney,20240920-SMU,Away,1,1,2,3,0,0,0,0,1,2,2,0,2,4,0,0,,,
5,Emmet Pierce,20240920-SMU,Away,1,0,1,-1,0,1,0,1,4,5,6,0,6,0,0,0,,,
6,Jordan Hendry,20240920-SMU,Away,0,0,0,0,2,0,0,0,2,2,0,3,-3,0,0,0,,,
7,Adam Grein,20240920-SMU,Away,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,,,
8,Payton Robinson,20240920-SMU,Away,0,0,0,-1,2,0,0,0,0,0,0,0,0,3,1,0,,,
10,Nate Bierd,20240920-SMU,Away,1,0,1,0,2,0,0,0,2,3,4,0,4,1,0,0,,,
11,Liam Fedak,20240920-SMU,Away,0,1,1,1,0,0,0,0,0,1,2,0,2,0,3,0,,,
14,Jaxson Murray,20240920-SMU,Away,0,1,1,0,0,0,1,1,1,1,3,1,2,0,0,0,,,
20,Brendan Bays,20240920-SMU,Away,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,,,
23,Simon Rose,20240920-SMU,Away,0,1,1,-1,0,0,1,1,0,1,2,2,0,3,1,0,,,
25,Jaden Goldie,20240920-SMU,Away,0,0,0,1,0,0,0,0,2,2,2,0,2,0,0,0,,,
26,Jesse Fishman,20240920-SMU,Away,0,0,0,1,0,0,0,0,0,1,0,1,-1,0,0,0,,,
27,Brendan Bowie,20240920-SMU,Away,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,
28,Aaron Davidson,20240920-SMU,Away,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,,,
46,Cole Fraser,20240920-SMU,Away,1,1,2,2,2,0,0,0,0,1,2,0,2,0,0,0,,,
81,Tate Popple,20240920-SMU,Away,0,1,1,0,0,0,0,0,0,4,5,0,5,2,1,1,,,
83,Jack Phibbs,20240920-SMU,Away,0,0,0,0,0,0,0,0,2,2,1,0,1,0,0,0,,,
88,Adamo Santia,20240920-SMU,Away,0,1,1,1,2,0,0,0,1,1,3,2,1,0,0,0,,,
2,Owen Wilson,20240921-Dalhousie,Away,0,0,0,0,2,0,0,0,3,3,0,1,-1,2,1,1,,,
4,Sam McKinney,20240921-Dalhousie,Away,0,2,2,3,0,0,0,0,2,7,0,0,0,0,0,0,,,
5,Emmet Pierce,20240921-Dalhousie,Away,0,1,1,1,0,0,0,0,1,4,2,0,2,0,3,1,,,
6,Jordan Hendry,20240921-Dalhousie,Away,0,0,0,1,2,0,0,0,1,3,0,2,-2,0,0,0,,,
8,Payton Robinson,20240921-Dalhousie,Away,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,,,
9,Max Monette,20240921-Dalhousie,Away,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,,,
10,Nate Bierd,20240921-Dalhousie,Away,0,0,0,0,2,0,0,0,4,6,2,0,2,0,0,0,,,
11,Liam Fedak,20240921-Dalhousie,Away,0,2,2,2,0,0,0,0,2,3,1,0,1,1,0,0,,,
14,Jaxson Murray,20240921-Dalhousie,Away,0,1,1,1,2,0,0,0,6,7,3,1,2,0,2,0,,,
20,Brendan Bays,20240921-Dalhousie,Away,1,0,1,1,2,0,0,0,1,2,0,1,-1,1,0,0,,,
23,Simon Rose,20240921-Dalhousie,Away,1,0,1,2,14,0,0,0,2,5,3,1,2,1,1,0,,,
25,Jaden Goldie,20240921-Dalhousie,Away,0,0,0,0,0,0,0,0,1,2,0,1,-1,0,0,0,,,
26,Jesse Fishman,20240921-Dalhousie,Away,1,0,1,1,0,0,0,0,3,9,1,0,1,1,0,0,,,
27,Brendan Bowie,20240921-Dalhousie,Away,0,1,1,1,0,0,0,0,4,4,0,0,0,0,0,0,,,
28,Aaron Davidson,20240921-Dalhousie,Away,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,,,
46,Cole Fraser,20240921-Dalhousie,Away,0,2,2,4,0,0,0,0,3,4,2,0,2,0,0,0,,,
77,Marco Lopez,20240921-Dalhousie,Away,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,,,
81,Tate Popple,20240921-Dalhousie,Away,0,0,0,1,0,0,0,0,4,6,2,1,1,0,1,1,,,
83,Jack Phibbs,20240921-Dalhousie,Away,1,0,1,3,0,0,0,0,2,2,0,0,0,0,0,0,,,
88,Adamo Santia,20240921-Dalhousie,Away,0,0,0,0,0,0,0,0,1,1,0,1,-1,1,1,0,,,
2,Owen Wilson,20240928-Nipissing,Home,0,0,0,-1,0,0,0,0,1,2,0,1,-1,1,0,0,0,0,0
4,Sam McKinney,20240928-Nipissing,Home,0,0,0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0
5,Emmet Pierce,20240928-Nipissing,Home,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
6,Jordan Hendry,20240928-Nipissing,Home,0,0,0,1,2,0,0,0,1,1,1,2,-1,0,0,0,0,0,0
7,Adam Grein,20240928-Nipissing,Home,0,1,1,1,2,0,0,0,1,1,2,0,2,0,1,0,0,0,0
8,Payton Robinson,20240928-Nipissing,Home,0,0,0,-1,0,0,0,0,1,1,0,1,-1,0,0,0,0,0,0
10,Nate Bierd,20240928-Nipissing,Home,0,1,1,-1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
11,Liam Fedak,20240928-Nipissing,Home,2,0,2,2,0,0,0,0,4,5,3,0,3,1,0,2,0,1,0
14,Jaxson Murray,20240928-Nipissing,Home,1,1,2,1,0,0,1,1,4,6,3,0,3,1,0,1,0,0,0
20,Brendan Bays,20240928-Nipissing,Home,0,1,1,2,2,0,0,0,1,1,1,1,0,2,0,0,0,0,0
25,Jaden Goldie,20240928-Nipissing,Home,0,1,1,1,0,0,0,0,1,1,3,0,3,1,0,0,0,0,0
26,Jesse Fishman,20240928-Nipissing,Home,0,0,0,1,0,0,0,0,4,5,1,0,1,0,0,0,0,0,0
27,Brendan Bowie,20240928-Nipissing,Home,0,0,0,0,2,0,0,0,0,2,1,0,1,1,2,0,1,0,0
28,Aaron Davidson,20240928-Nipissing,Home,0,0,0,1,0,0,0,0,0,2,2,0,2,0,2,1,0,0,1
33,Kieran Ruscheinski,20240928-Nipissing,Home,0,0,0,1,0,0,0,0,2,7,2,1,1,1,0,1,0,0,0
46,Cole Fraser,20240928-Nipissing,Home,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
81,Tate Popple,20240928-Nipissing,Home,1,1,2,-1,0,1,0,1,4,8,2,1,1,0,1,1,0,0,0
83,Jack Phibbs,20240928-Nipissing,Home,0,0,0,0,0,0,0,0,2,2,1,0,1,0,0,1,0,0,0
