Game Id,Home/Away,Period,GF,GA,Shots +,Shots -,PP,PP Goals,PP %,PK,PK Kills,PK %,Net Front +,Net Front -,Odd Man +,Odd Man -,GR A +,GR A -,Comments
20240914-Laurier,Away,1,1,1,0,0,1,0,0.00,0,0,0.00,,,,,,,
20240914-Laurier,Away,2,2,0,0,0,1,0,0.00,1,0,0.00,,,,,,,
20240914-Laurier,Away,3,1,0,0,0,1,0,0.00,1,0,0.00,,,,,,,
20240914-Laurier,Away,Total,4,1,0,0,3,0,0.00,2,0,0.00,,,,,,,
20240920-SMU,Away,1,1,2,5,15,1,0,0.00,3,2,0.67,,,,,,,
20240920-SMU,Away,2,0,1,3,16,0,0,0.00,2,1,0.50,,,,,,,
20240920-SMU,Away,3,2,0,9,10,1,1,1.00,1,1,1.00,,,,,,,
20240920-SMU,Away,4,1,0,1,0,0,0,0.00,0,0,0.00,,,,,,,
20240920-SMU,Away,Total,4,3,18,41,2,1,0.50,6,4,0.67,,,,,,,
20240921-Dalhousie,Away,1,1,0,14,11,3,0,0.00,2,2,1.00,,,,,,,
20240921-Dalhousie,Away,2,2,1,14,11,1,0,0.00,2,1,0.50,,,,,,,
20240921-Dalhousie,Away,3,2,1,16,12,1,0,0.00,1,0,0.00,,,,,,,
20240921-Dalhousie,Away,Total,5,2,44,34,5,0,0.00,5,3,0.60,,,,,,,
20240928-Nipissing,Home,1,0,1,8,17,1,0,0.00,1,1,1.00,2,4,1,3,1,8,
20240928-Nipissing,Home,2,2,0,13,16,2,1,0.50,3,3,1.00,1,1,2,3,8,6,
20240928-Nipissing,Home,3,2,0,10,15,1,0,0.00,2,2,1.00,0,4,0,1,3,3,
20240928-Nipissing,Home,Total,4,1,31,48,4,1,0.25,6,6,1.00,3,9,3,7,12,17,
20241003-Brock,Home,1,1,1,6,13,1,0,0.00,2,2,1.00,2,4,0,4,2,4,
20241003-Brock,Home,2,3,3,14,11,3,1,0.33,1,0,0.00,2,2,3,5,4,4,
20241003-Brock,Home,3,0,1,9,9,0,0,0.00,2,2,1.00,0,0,2,2,2,3,
20241003-Brock,Home,Total,4,5,29,33,4,1,0.25,5,4,0.80,4,6,5,11,8,11,
20241005-Western,Home,1,1,0,9,14,0,0,0.00,0,0,0.00,5,7,3,2,3,3,
20241005-Western,Home,2,1,0,4,13,0,0,0.00,3,3,1.00,1,4,1,1,1,3,
20241005-Western,Home,3,2,1,6,13,2,2,1.00,0,0,0.00,1,6,3,2,4,5,
20241005-Western,Home,Total,4,1,19,40,2,2,1.00,3,3,1.00,7,17,7,5,8,11,
20241011-UQTR,Away,1,0,2,6,12,0,0,0.00,3,2,0.67,0,4,1,2,1,5,
20241011-UQTR,Away,2,3,1,13,9,2,1,0.50,4,4,1.00,1,1,2,2,3,5,
20241011-UQTR,Away,3,1,1,11,12,1,0,0.00,0,0,0.00,1,3,0,3,3,4,
20241011-UQTR,Away,4,0,0,2,8,0,0,0.00,1,1,1.00,0,0,0,0,0,0,
20241011-UQTR,Away,Total,4,4,32,41,3,1,0.33,8,7,0.88,2,8,3,7,7,14,Shootout loss
20241017-Guelph,Away,1,1,1,2,10,0,0,0.00,2,1,0.50,1,3,0,3,0,3,
20241017-Guelph,Away,2,0,1,8,11,1,0,0.00,0,0,0.00,2,3,0,3,1,9,
20241017-Guelph,Away,3,1,3,16,12,1,0,0.00,1,0,0.00,1,2,0,2,3,5,
20241017-Guelph,Away,Total,2,5,26,33,2,0,0.00,3,1,0.33,4,8,0,8,4,17,
20241019-Guelph,Home,1,1,1,8,17,2,0,0.00,2,2,1.00,0,0,1,4,2,11,
