game_num,game_id
1,20240914-Laurier
2,20240920-SMU
3,20240921-Dalhousie
4,20240928-Nipissing
5,20241003-Brock
6,20241005-Western
7,20241011-UQTR
8,20241017-Guelph
9,20241019-Guelph
10,20241024-Laurier
11,20241025-Brock
12,20241030-Toronto
13,20241102-TMU
14,20241108-Windsor
15,20241109-Western
16,20241115-McGill
17,20241123-Ottawa
18,20241129-RMC
19,20241130-Queens
20,20241205-Laurier
21,20250108-York
22,20250111-Concordia
23,20250117-Lakehead
24,20250118-Lakehead
25,20250123-Laurier
26,20250124-Ontario Tech
27,20250131-Nipissing
28,20250201-Nipissing
29,20250207-Toronto
30,20250208-TMU
31,20250214-Windsor
32,20250215-Carleton
