number,player,pos
2,Owen Wilson,D
3,Gavin Wood,D
4,Sam McKinney,D
5,Emmet Pierce,F
6,Jordan Hendry,D
7,Adam Grein,F
8,Payton Robinson,D
9,Max Monette,F
10,Nate Bierd,F
11,Liam Fedak,F
14,Jaxson Murray,F
20,Brendan Bays,D
23,Simon Rose,D
25,Jaden Goldie,F
26,Jesse Fishman,F
27,Brendan Bowie,F
28,Aaron Davidson,F
29,Matthew Benson,D
33,Kieran Ruscheinski,D
46,Cole Fraser,F
77,Marco Lopez,F
81,Tate Popple,F
83,Jack Phibbs,F
88,Adamo Santia,F
49,Daniel Murphy,G
70,Matt Onuska,G
1,Frank Boal,G
